IT之家	itvijq
闽G	mlg
闽H	mlh
闽J	mlj
闽K	mlk
宁A	nja
宁B	njb
宁C	njc
宁D	njd
宁E	nje
青A	qja
青B	qjb
青C	qjc
青D	qjd
青E	qje
青F	qjf
青G	qjg
青H	qjh
琼A	qsa
琼B	qsb
琼C	qsc
琼D	qsd
琼E	qse
陕A	ufa
陕B	ufb
陕C	ufc
陕D	ufd
陕E	ufe
陕F	uff
陕G	ufg
陕H	ufh
陕J	ufj
陕K	ufk
陕V	ufv
陕U	ufu
苏A	sua
苏B	sub
苏C	suc
苏D	sud
苏E	sue
苏F	suf
苏G	sug
苏H	suh
苏J	suj
苏K	suk
苏L	sul
苏M	sum
苏N	sun
苏U	suu
皖A	wfa
皖B	wfb
皖C	wfc
皖D	wfd
皖E	wfe
皖F	wff
皖G	wfg
皖H	wfh
皖J	wfj
皖K	wfk
皖L	wfl
皖M	wfm
皖N	wfn
皖P	wfp
皖R	wfr
皖S	wfs
湘A	xna
湘B	xnb
湘C	xnc
湘D	xnd
湘E	xne
湘F	xnf
湘G	xng
湘H	xnh
湘J	xnj
湘K	xnk
湘L	xnl
湘M	xnm
湘N	xnn
湘U	xnu
新A	xla
新B	xlb
新C	xlc
新D	xld
新E	xle
新F	xlf
新G	xlg
新H	xlh
新J	xlj
新K	xlk
新L	xll
新M	xlm
新N	xln
新P	xlp
新Q	xlq
新R	xlr
渝C	yuc
渝F	yuf
渝G	yug
渝H	yuh
豫A	yua
豫B	yub
豫C	yuc
豫D	yud
豫E	yue
豫F	yuf
豫G	yug
豫H	yuh
豫J	yuj
豫K	yuk
豫L	yul
豫M	yum
豫N	yun
豫P	yup
豫Q	yuq
豫R	yur
豫S	yus
豫U	yuu
粤A	yxa
粤B	yxb
粤C	yxc
粤D	yxd
粤E	yxe
粤F	yxf
粤G	yxg
粤H	yxh
粤J	yxj
粤K	yxk
粤L	yxl
粤M	yxm
粤N	yxn
粤P	yxp
粤Q	yxq
粤R	yxr
粤S	yxs
粤T	yxt
粤U	yxu
粤V	yxv
粤W	yxw
粤X	yxx
粤Y	yxy
粤Z	yxz
云A	yza
云B	yzb
云C	yzc
云D	yzd
云E	yze
云F	yzf
云G	yzg
云H	yzh
云J	yzj
云K	yzk
云L	yzl
云M	yzm
云N	yzn
云P	yzp
云Q	yzq
云R	yzr
云S	yzs
浙A	vea
浙B	veb
浙C	vec
浙D	ved
浙E	vee
浙F	vef
浙G	veg
浙H	veh
浙J	vej
浙K	vek
浙L	vel
